,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
606,:9/8_8,:9/8_8_0,0,20.97,"1391.35,1231.65 1385.66,1230.84 1381.60,1228.40 1379.16,1224.34 1378.35,1218.65",13.90
607,:3/15_4,:3/15_4_0,0,7.47,"478.35,2291.35 479.16,2285.66 480.05,2284.18",13.90
608,:3/15_5,:3/15_5_0,0,2.41,"478.35,2291.35 479.18,2290.11 480.00,2289.70",13.90
609,:3/15_6,:3/15_6_0,0,5.00,"491.35,2288.25 489.99,2288.44 489.02,2289.03 488.44,2289.99 488.25,2291.35",13.90
610,:3/15_7,:3/15_7_0,0,22.70,"491.35,2284.95 484.61,2284.95 480.00,2284.95 475.39,2284.95 468.65,2284.95",13.90
611,:0/13_19,:0/13_19_0,0,4.82,"18.65,1978.35 19.89,1979.18 20.30,1980.00 19.89,1980.83 18.65,1981.65",13.90
612,:0/13_18,:0/13_18_0,0,20.97,"18.65,1978.35 24.34,1979.16 28.40,1981.60 30.84,1985.66 31.65,1991.35",13.90
613,:0/13_17,:0/13_17_0,0,22.70,"18.65,1975.05 25.39,1975.05 30.00,1975.05 34.61,1975.05 41.35,1975.05",13.90
614,:0/13_16,:0/13_16_0,0,5.00,"18.65,1971.75 20.01,1971.56 20.98,1970.97 21.56,1970.01 21.75,1968.65",13.90
615,:0/13_15,:0/13_15_0,0,2.41,"31.65,1968.65 30.82,1969.89 30.00,1970.30",13.90
616,:0/13_14,:0/13_14_0,0,7.47,"31.65,1968.65 30.84,1974.34 29.95,1975.82",13.90
617,:0/13_11,:0/13_11_2,2,22.70,"31.65,1968.65 31.65,1975.39 31.65,1980.00 31.65,1984.61 31.65,1991.35",13.90
618,:0/13_10,:0/13_10_0,0,5.00,"38.25,1968.65 38.44,1970.01 39.02,1970.97 39.99,1971.56 41.35,1971.75",13.90
619,6/15totop6,6/15totop6_2,2,18.65,"931.65,2291.35 931.65,2310.00",13.90
